timestamp;gateway_id;node_id;seq;soc;pack_v;current_a;remain_ah;nominal_ah;cycle_count;temp_mos;temp_t1;temp_t2;avg_cell_mv;cell_delta_mv;cell_min_mv;cell_max_mv;lat;lon;rssi;snr;Cell01_mV;Cell02_mV;Cell03_mV;Cell04_mV;Cell05_mV;Cell06_mV;Cell07_mV;Cell08_mV;Cell09_mV;Cell10_mV;Cell11_mV;Cell12_mV;Cell13_mV;Cell14_mV;Cell15_mV;Cell16_mV;Cell17_mV;Cell18_mV;Cell19_mV;Cell20_mV;Cell21_mV;Cell22_mV;Cell23_mV;Cell24_mV;CellWR1;CellWR2;CellWR3;CellWR4;CellWR5;CellWR6;CellWR7;CellWR8;CellWR9;CellWR10;CellWR11;CellWR12;CellWR13;CellWR14;CellWR15;CellWR16;CellWR17;CellWR18;CellWR19;CellWR20;CellWR21;CellWR22;CellWR23;CellWR24
2026-07-06 15:18:28.917;Workshop;1;;98;78,35;-36,456;97,527;100,0;6;35,0;30,0;30,6;3265;45;3254;3272;-5,232642;119,50181;-109;5,25;3258;3254;3272;3260;3271;3265;3264;3272;3269;3271;3266;3259;3266;3261;3264;3267;3269;3266;3266;3265;3266;3260;3260;3255;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:18:37.808;Workshop;1;;97;79,25;-0,732;97,496;100,0;6;34,2;30,0;30,6;3302;6;3301;3306;-5,232587;119,5017481;-105;7,5;3303;3301;3303;3301;3303;3303;3301;3306;3304;3303;3304;3301;3303;3301;3301;3302;3303;3301;3301;3303;3303;3303;3303;3301;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:18:42.933;Workshop;1;;97;79,28;-0,732;97,495;100,0;6;34,1;30,0;30,6;3304;5;3302;3307;-5,232584;119,5017456;-105;7,75;3304;3302;3304;3302;3304;3304;3303;3307;3307;3304;3307;3302;3304;3302;3302;3303;3304;3302;3302;3304;3304;3304;3304;3302;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:18:52.979;gedung_sipil;1;;97;79,32;-1,648;97,491;100,0;6;33,8;30,1;30,6;3305;5;3303;3308;-5,2325785;119,5017416;-48;10,5;3307;3303;3307;3304;3307;3307;3304;3308;3308;3306;3308;3303;3306;3303;3303;3306;3306;3303;3303;3306;3307;3306;3306;3303;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:18:58.207;gedung_sipil;1;;97;79,35;-2,015;97,49;100,0;6;33,7;30,1;30,6;3306;5;3304;3309;-5,2325763;119,5017366;-51;9,75;3307;3304;3308;3306;3307;3307;3306;3309;3309;3307;3309;3304;3307;3304;3304;3307;3307;3304;3304;3307;3307;3307;3307;3304;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:19:03.038;Workshop;1;;97;77,3;-123,66;97,443;100,0;6;33,8;30,1;30,6;3221;57;3167;3229;-5,2325193;119,5016905;-102;8,0;3167;3169;3229;3212;3223;3207;3207;3211;3224;3217;3216;3201;3215;3212;3216;3212;3216;3207;3211;3211;3222;3217;3210;3208;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:19:08.347;gedung_sipil;1;;97;77,35;-64,852;97,304;100,0;6;36,0;30,1;30,6;3223;57;3221;3252;-5,232306;119,5015253;-81;10,0;3221;3223;3252;3234;3238;3228;3226;3231;3238;3231;3229;3221;3227;3229;3226;3227;3226;3221;3222;3223;3232;3227;3226;3223;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:19:39.244;gedung_sipil;1;;97;76,47;-124,759;97,0;100,0;6;36,1;30,1;30,6;3186;62;3137;3208;-5,231126;119,5007033;-96;8,5;3137;3149;3208;3189;3204;3179;3184;3186;3196;3191;3185;3174;3186;3188;3184;3186;3184;3181;3179;3184;3194;3186;3180;3177;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:20:10.799;gedung_sipil;1;;96;78,78;-9,892;96,298;100,0;6;40,0;30,2;30,6;3283;56;3271;3317;-5,2293368;119,499291;-108;6,0;3317;3281;3292;3295;3298;3306;3287;3285;3280;3279;3277;3276;3276;3274;3272;3277;3276;3271;3272;3272;3275;3271;3274;3286;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
2026-07-06 15:21:06.327;technomart;1;;96;79,14;-0,549;95,98;100,0;6;37,1;30,5;30,7;3298;6;3296;3301;-5,2287771;119,5007031;-63;10,25;3299;3296;3299;3296;3298;3298;3296;3301;3301;3298;3301;3296;3298;3296;3296;3298;3298;3296;3296;3298;3299;3298;3298;3296;172;171;176;177;168;166;170;171;165;167;173;171;165;166;165;167;168;167;165;166;169;165;162;167
