timestamp;gateway_id;node_id;seq;soc;pack_v;current_a;remain_ah;nominal_ah;cycle_count;temp_mos;temp_t1;temp_t2;avg_cell_mv;cell_delta_mv;cell_min_mv;cell_max_mv;lat;lon;rssi;snr;Cell01_mV;CellWR1;Cell02_mV;CellWR2;Cell03_mV;CellWR3;Cell04_mV;CellWR4;Cell05_mV;CellWR5;Cell06_mV;CellWR6;Cell07_mV;CellWR7;Cell08_mV;CellWR8;Cell09_mV;CellWR9;Cell10_mV;CellWR10;Cell11_mV;CellWR11;Cell12_mV;CellWR12;Cell13_mV;CellWR13;Cell14_mV;CellWR14;Cell15_mV;CellWR15;Cell16_mV;CellWR16;Cell17_mV;CellWR17;Cell18_mV;CellWR18;Cell19_mV;CellWR19;Cell20_mV;CellWR20;Cell21_mV;CellWR21;Cell22_mV;CellWR22;Cell23_mV;CellWR23;Cell24_mV;CellWR24;_reject_reason
2026-06-24 14:40:36.403;Workshop;1;;49;77,37;-145,137;49,306;100,0;5;47,4;38,0;36,0;3224;13;2690;4024;0,0;0,0;-103;3,75;3108;172;3115;43691;3179;16;3165;177;3177;168;3154;166;49236;170;49246;171;58048;165;44262;167;15041;173;51762;171;23169;165;3204;166;4024;165;3201;167;3205;168;3298;167;2690;165;3207;166;3210;169;3208;165;3201;162;3204;167;Cell07_mV=49236.0 di luar (2000, 4200)
2026-06-24 14:43:53.016;Workshop;1;;47;76,39;-82,073;47,073;100,0;5;51,0;38,3;36,1;3183;7;3161;3199;-5,2308836;119,5033723;-106;-3,5;3161;172;3169;171;3197;176;3192;1201;3196;17580;3188;32934;3189;38622;3192;20117;3199;762;3191;10911;3188;7398;3185;3179;3191;12439;3189;41910;3192;2723;3185;44801;3188;21918;3185;26274;3183;24739;3185;166;3189;169;3184;165;3180;162;3179;167;CellWR5=17580.0 di luar (0, 2000)
2026-06-24 14:44:47.896;Workshop;1;;46;76,45;-63,753;46,164;100,0;5;52,2;38,4;36,2;3186;34;3095;3197;-5,2341496;119,5044811;-108;-7,0;3175;172;3173;171;3197;176;3190;177;23677;168;15969;166;27221;170;3095;171;3197;165;3190;167;3190;173;3180;171;3188;165;3184;166;3180;165;3183;167;3181;168;3183;167;3184;165;3185;166;3190;169;3184;165;3180;162;3181;167;Cell05_mV=23677.0 di luar (2000, 4200)
2026-06-24 14:44:57.935;Workshop;1;;46;77,38;2,198;46,015;100,0;5;52,1;38,4;36,2;3224;48;1192;3240;-5,2339073;119,5036676;-106;-1,25;3232;172;3228;171;3234;176;3233;177;3236;168;3237;166;3234;170;3237;171;1192;165;35988;167;51904;173;6954;171;3212;165;2216;166;50407;165;3239;167;3240;168;3232;167;3232;165;3234;166;3232;169;3232;165;44957;162;1966;167;cell_min_mv=1192.0 di luar (2000, 4200)
2026-06-24 14:47:54.256;Workshop;1;;44;77,73;-0,732;43,706;100,0;5;52,4;38,8;36,3;3239;5;3236;3242;-5,230855;119,5031796;-104;2,5;3237;172;3237;171;49319;176;3239;177;3239;168;3240;166;3239;170;3240;171;3240;165;3239;167;3240;173;3239;171;3240;165;3239;166;3239;165;3237;167;3238;168;3240;167;3239;165;3242;166;3240;169;3239;165;3236;162;3238;167;Cell03_mV=49319.0 di luar (2000, 4200)
2026-06-24 14:48:49.657;Workshop;1;;43;76,17;-65,697;42,825;100,0;5;-1584,4;-1419,3;1288,5;3174;32;3152;3185;-5,2339465;119,5049311;-100;0,75;3152;172;3156;171;3183;176;3181;177;3183;168;3179;166;3177;170;3178;171;3185;165;3180;167;3175;173;3177;171;3175;165;3172;166;3170;165;3172;167;3170;168;3173;167;3177;165;3169;166;3179;169;3178;165;3172;162;3175;167;temp_mos=-1584.4 di luar (-40, 100)
2026-06-24 14:48:54.661;Workshop;1;;253;18171160,0;-5504,895;1983936,0;84427,32;20560;2018,8;-1401,4;-1870,6;3175;31;3157;3189;-5,2341501;119,5045486;-109;-5,5;3157;172;3158;171;3188;176;3179;177;3189;168;3175;166;3180;170;3174;171;3173;165;3170;167;3172;173;3167;171;3177;288;3177;36991;3181;10636;3177;15;3181;168;3178;167;3179;165;3179;166;3180;169;3172;165;3165;162;3172;167;soc=253.0 di luar 0-100
2026-06-24 14:49:35.751;Workshop;1;;42;34226090,0;-71,997;42,206;100,0;3221225477;53,9;38,4;36,5;38610;32855;1370;3177;-55,512109;-57,6935523;-109;-11,25;3140;8710;3137;1;3177;27206;3167;2369;3177;23127;3158;31055;3164;2127;1370;47676;3172;39783;3165;14997;3165;8622;3157;24781;3163;16549;3159;25766;3162;30438;3157;36069;3157;18432;3168;135;3157;165;3173;59251;3170;36994;3162;63989;30855;38385;50989;22180;pack_v=34226090.0 di luar (50, 100)
2026-06-24 14:52:10.989;Workshop;1;;40;77,38;-1,282;40,11;100,0;5;54,0;39,5;36,6;3224;5;152;3322;-5,2307645;119,5025718;-104;-3,75;3223;172;3222;171;3226;176;3223;177;3224;168;3226;166;3224;170;3226;171;3227;165;152;167;3322;173;2712;171;3227;165;3223;166;3224;165;3222;167;3224;168;3224;167;3224;165;3227;166;3227;169;3224;165;3221;162;3223;167;cell_min_mv=152.0 di luar (2000, 4200)
2026-06-24 14:52:21.085;Workshop;1;;40;75,21;889332,3;39,945;100,0;5;54,8;39,5;-1403,7;3163;55;3129;3173;-5,2312033;119,5036613;-104;0,75;3129;172;3135;171;3173;176;3163;177;3173;168;3164;166;3163;170;3165;171;3172;165;3167;167;3163;2221;3156;32818;3164;36774;3159;2252;3164;165;3158;167;3168;168;3163;167;3167;165;3164;166;3170;169;3161;165;3157;162;3158;167;current_a=889332.3 di luar (-300, 300)
2026-06-24 14:53:16.497;Workshop;1;;39;16173040,0;-889383,4;39,142;100,0;5;55,1;39,7;36,8;23634;1038;3136;3542;-5,2341935;119,50428;-108;-7,0;3137;60;3136;162;3173;176;3164;177;3170;1768;3162;51519;3156;3126;3162;171;3164;165;3159;167;3159;173;3146;171;3165;165;3163;166;3164;165;3158;167;3165;168;3152;49319;3158;165;3281;166;38359;169;3542;165;50759;162;39178;167;pack_v=16173040.0 di luar (50, 100)
2026-06-24 14:53:21.536;Workshop;1;;39;75,82;-58,257;39,062;2687601,0;43685;55,2;39,7;36,8;3159;46;2564;3999;-5,2340323;119,5038611;-103;-6,25;3148;172;3148;171;3177;176;3168;177;3174;168;3169;166;3164;170;3163;171;3264;165;44115;167;2649;173;2564;171;3163;165;35930;166;3679;165;3123;167;52313;168;27658;167;3999;165;3167;166;3167;169;3159;165;3158;162;3156;167;Cell10_mV=44115.0 di luar (2000, 4200)
2026-06-24 14:54:02.498;Workshop;1;;39;77,25;-1,648;38,707;100,0;5;53,7;39,8;36,8;3219;6;3098;3222;-5,2325905;119,5017375;-104;-3,25;3218;172;3216;171;3222;176;3218;177;3220;168;3222;166;3220;170;3221;171;3222;165;3220;167;3221;173;44178;171;44700;165;3098;166;3220;165;3217;167;3218;168;3220;167;3220;165;3222;166;3222;169;3218;165;3216;162;3217;167;Cell12_mV=44178.0 di luar (2000, 4200)
2026-06-24 14:54:12.634;Workshop;1;;39;77,34;-1,465;38,705;100,0;5;53,1;39,8;36,9;3223;6;3218;3224;-5,2325643;119,5017073;-104;-4,0;3221;172;3218;171;3224;176;3222;177;3223;168;3224;166;3223;170;3223;171;3224;165;3222;167;3224;429;3223;2482;3224;165;3222;166;3223;2364;3220;167;3222;168;3223;167;3223;165;3224;166;3224;169;3222;165;3220;162;3221;167;CellWR12=2482.0 di luar (0, 2000)
